unique_key,location,on_street,off_street,borough
3869058,,,,
3847947,,,,
3914294,,BELT PARKWAY,,BROOKLYN
3915069,,,,
3923123,,,,
3987177,,,1115 5TH AVENUE,MANHATTAN
4008417,,,,
3917518,,,806 3RD AVENUE,BROOKLYN
3953286,,,,
3896388,,,,
3837567,,,401 WEST 48TH STREET,MANHATTAN
3833347,,,,
3823082,,,,
3988544,,,,
4033506,,VAN WYCK EXPRESSWAY,,QUEENS
4038831,,,,
4039194,,,156 ATLANTIC AVENUE,BROOKLYN
4016752,,,,
3943171,,,,
3844497,,BELT PARKWAY,,QUEENS
3865942,,,,
4055177,,,,
3951399,,,,
3861001,,,,
3933935,,,,QUEENS
3919744,,,,
3870367,,,,
3822285,"(40.7230565, -73.7764759)",,,QUEENS
3916821,,RICHMOND AVENUE,,STATEN ISLAND
3966143,,,,
3960576,,,33 RICHMOND HILL ROAD,STATEN ISLAND
3991965,,,,
4014647,,,2119 REGENT PLACE,BROOKLYN
3900893,,,287 RAMONA AVENUE,STATEN ISLAND
3995399,,,,
4050343,,,,
3862853,,,,
3859687,,,,MANHATTAN
3935554,,,,
3865878,,,,
3843506,,HARLEM RIVER DRIVE,,MANHATTAN
3898211,,,,
3838853,,,,
4007678,,,,
3895627,,,,
3860604,,,11 EAST 1ST STREET,MANHATTAN
3997604,"(40.7616136, -73.99032179999999)",,,MANHATTAN
3967000,,,,
3825629,,PALMETTO STREET,,QUEENS
4036977,,,,
3909722,,,64-15 LAUREL HILL BOULEVARD,QUEENS
3988400,,31ST STREET,,QUEENS
3962914,,,,
3931548,,FDR DRIVE,,MANHATTAN
3994802,,LONG ISLAND EXPRESSWAY,,QUEENS
4036012,,,,
3956586,,,,
4050030,,,,
4048444,,,,
3973923,,,380 46TH STREET,BROOKLYN
3920829,,,,
3971057,,,,
3973013,"(40.5857932, -73.8193472)",,,QUEENS
4045374,,,,
3911151,,,,
4037980,,,1579 BUSHWICK AVENUE,BROOKLYN
3961106,,,,
3914824,,,,
3883094,,,87 2ND AVENUE,MANHATTAN
3920038,,EAST 39TH STREET,,MANHATTAN
4033945,,,,
4050221,,,,
3992455,,,,
3920916,,,355 QUENTIN ROAD,BROOKLYN
3910434,,,30-56 WHITESTONE EXPRESSWAY SOUTH SERVICE ROAD,QUEENS
3995131,,LONG ISLAND EXPRESSWAY,,QUEENS
4050158,,BELT PARKWAY,,QUEENS
3886157,,,,
3925847,,,,
4035289,,,,
4045965,,,25 WEST TREMONT AVENUE,BRONX
3871856,,,,
4028373,,,,
3845070,,VERRAZZANO-NARROWS BRIDGE,,BROOKLYN
3975793,,,,
3889957,,BROOKLYN-QUEENS EXPRESSWAY,,BROOKLYN
3887072,,,91 BRUCKNER BOULEVARD,BRONX
3946764,,,,
4048142,,,,
3915533,,,,
4050498,,,,
4050178,,,,
3884269,,,,
3970533,,GRAND CENTRAL PARKWAY,,QUEENS
3847596,,,,
3835430,,,1290 SUTTER AVENUE,BROOKLYN
3921440,,,,
3881668,,,,
3955473,,,,
3981234,,,,
3924674,,,,
3976673,,,,
3955755,,,,
3961254,,,,
3854124,,,,
3949476,,,375 EAST 205TH STREET,BRONX
3964481,,BROOKLYN-QUEENS EXPRESSWAY,,QUEENS
3936239,,,,
3916476,,,115 BROAD STREET,MANHATTAN
3886927,,,,
3953125,,,,
3959434,,,,
4008101,"(40.8680019, -73.8842216)",,,BRONX
3858020,,VAN WYCK EXPRESSWAY,,QUEENS
3916079,"(40.705867, -73.918833)",,,BROOKLYN
3883100,,,,
4048756,,,,
3975380,,,,
3867291,,,399 ATLANTIC AVENUE,BROOKLYN
3984221,,,,
3832717,,,,
3960065,,,,
3879935,,,,
3895105,,,,
3928906,,,,
3842853,,,,
3915209,,,,
3999227,,ATLANTIC AVENUE,,BROOKLYN
3963094,"(40.5274705, -74.2340708)",,,STATEN ISLAND
3992663,"(40.8267432, -73.8286426)",,,BRONX
3882312,,,,
4006052,,LONG ISLAND EXPRESSWAY,,QUEENS
4010582,,,,
4055270,,,,
3832282,,MYRTLE AVENUE,,BROOKLYN
3994944,,,,
3855446,,,2501 DAVIDSON AVENUE,BRONX
4046525,,,,
4037715,"(40.7127753, -74.0059728)",,,
3935913,,,,
4050250,,,,
3946935,,BELT PARKWAY,,BROOKLYN
3875989,,WEST 155TH STREET,,MANHATTAN
4050821,,,,
3925044,,,3951 BELT PARKWAY,BROOKLYN
3921976,,,,
3914524,,,,
3981253,,,,
3909506,"(40.8293623, -73.8567831)",,,BRONX
3928365,,,,
3865538,,,,
3891405,,,84-17 125TH STREET,QUEENS
3920240,,,,
3876983,,,,MANHATTAN
4019393,,BROOKLYN-QUEENS EXPRESSWAY,,BROOKLYN
3821879,,,,
3948002,,,,
4009901,,BELT PARKWAY,,BROOKLYN
3910245,,,,
3865890,,WEST 133RD STREET,,MANHATTAN
3959972,,,,
3975514,,,,
3996562,,,,
3845639,,,,
3886287,,,,
3841509,,,,
3928638,,,,
3952981,,MOTT AVENUE,,QUEENS
4000320,,,,
4040908,,,686 MYRTLE AVENUE,BROOKLYN
4004257,,,,
3958384,,,,
3937146,,,2254 WESTCHESTER AVENUE,BRONX
3882558,,,,
3961435,,,,
3998766,,,,
3981795,,,,
3997491,,,139-01 BOOTH MEMORIAL AVENUE,QUEENS
3823334,,,,
3936426,,,,
3908806,,,,
3895869,,,,
3968011,,,,
4037267,,,38-01 ASTORIA BOULEVARD NORTH,QUEENS
3896041,,,,
4055293,,,165-07 TUSKEGEE AIRMEN WAY,QUEENS
3831479,,,,
3911795,,,,
3920875,,BROOKLYN-QUEENS EXPRESSWAY,,QUEENS
4009297,,,,
3942185,,,102 THAMES STREET,BROOKLYN
3853102,,,91-15 188TH STREET,QUEENS
3943604,,,,
3843292,,,,
3864101,,BROOKLYN-QUEENS EXPRESSWAY,,QUEENS
3849228,,,,
3987413,,,820 2ND AVENUE,MANHATTAN
3886557,,,501 WEST 43RD STREET,MANHATTAN
3894381,,,856 EAST NEW YORK AVENUE,BROOKLYN
3887692,,,192 EAST 151ST STREET,BRONX
4031639,,,,
3978146,,,,
3939297,,,,
3917783,,STATEN ISLAND EXPRESSWAY,,STATEN ISLAND
4055983,,,,
3929187,,,137-04 PECK AVENUE,QUEENS
4004790,,,,
3982856,,,,
3866412,,BELT PARKWAY,,QUEENS
3854031,,CLOVERDALE BOULEVARD,,QUEENS
3954504,,,,
3831390,,,,
3831399,,,3650 AMBOY ROAD,STATEN ISLAND
3987152,,,,
3899392,,,,
3922105,,,,
3909481,,,,
3921838,,LONG ISLAND EXPRESSWAY,,QUEENS
3968914,,,,
3920049,,,,
3869150,,,,
3878435,"(40.76264219999999, -74.0005189)",,,MANHATTAN
3974930,"(40.7617719, -73.9790609)",,,MANHATTAN
3983863,"(40.8575261, -73.85636830000001)",,,BRONX
3890359,,,,
3826587,,,25-04 QUEENS PLAZA SOUTH,QUEENS
3947011,,,,
4044826,,,,
3867775,,,35-11 GREENPOINT AVENUE,QUEENS
3897234,"(40.6847818, -73.9141336)",,,BROOKLYN
3823497,,,1801 CROSS BRONX EXPRESSWAY,BRONX
3963397,,,,
3942355,,,,
3970720,,,,
4021092,"(40.8313554, -73.950678)",,,MANHATTAN
3904504,,,15402 58TH AVENUE,QUEENS
4006012,,,2385 RICHMOND AVENUE,STATEN ISLAND
3960870,"(40.7729015, -73.9208689)",,,QUEENS
3832484,,,,
3837648,,,,
3860697,,,,
3990285,,,,
3847028,,,1900 RICHMOND AVENUE,STATEN ISLAND
3846882,,,,
4013645,,,,
3927580,,,,
3850652,,,,
3964577,,BRONX RIVER PARKWAY,,BRONX
3843503,,,230 NOSTRAND AVENUE,BROOKLYN
3950024,,,,
3914962,,,,
3919675,,,,
3837832,,,94-06 133RD STREET,QUEENS
3977396,,VAN WYCK EXPRESSWAY,,QUEENS
4019545,,,,
3880542,,BELT PARKWAY,,BROOKLYN
3883661,,,,
3993007,,,,
3968408,,,,
3959551,,,,
3876329,,,,
3937075,,,71 NORTH MOORE STREET,MANHATTAN
3959988,"(40.8400327, -73.8796831)",,,BRONX
4037520,,,,
3880875,,,,
4012958,"(40.7688772, -73.7525484)",,,QUEENS
3960166,,,,
4014755,,,,
4035256,,,,
3934652,,,38-21 48TH AVENUE,QUEENS
3881344,,,,
3940963,,,,
3853034,,,,
3969632,"(40.6249385, -74.1450042)",,,STATEN ISLAND
3965964,,,,
3946432,,,,MANHATTAN
3984173,,,,
